beat_index,boundary_probability
0,0.0
1,0.0
2,0.0
3,0.0
4,0.05
5,0.0
6,0.1
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.1
14,0.0
15,0.15
16,0.0
17,0.0
18,0.05
19,0.0
20,0.05
21,0.0
22,0.0
23,0.0
24,0.05
25,0.75
26,0.0
27,0.0
28,0.0
29,0.05
30,0.0
31,0.05
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.9
41,0.05
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.5
50,0.0
51,0.05
52,0.05
53,0.15
54,0.1
55,0.0
56,0.0
57,0.4
58,0.0
59,0.05
60,0.0
61,0.1
62,0.0
63,0.05
64,0.15
65,0.0
66,0.0
67,0.15
68,0.0
69,0.05
70,0.0
71,0.0
72,0.2
73,0.1
74,0.0
75,0.3
76,0.0
77,0.2
78,0.05
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.05
85,0.0
86,0.0
87,0.0
88,0.1
89,0.0
90,0.0
91,0.15
92,0.0
93,0.75
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.05
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.9
107,0.0
108,0.0
109,0.0
110,0.05
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.2
119,0.0
120,0.0
121,0.0
122,0.0
123,0.55
124,0.0
125,0.0
126,0.0
127,0.9
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.05
135,0.05
136,0.0
137,0.0
138,0.0
139,0.9
140,0.0
141,0.0
142,0.0
143,0.05
144,0.0
145,0.05
146,0.0
147,0.0
148,0.1
149,0.05
150,0.05
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.1
157,0.1
158,0.0
159,0.05
160,0.1
161,0.05
162,0.0
163,0.05
164,0.05
165,0.9
166,0.0
167,0.0
168,0.0
169,0.05
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.05
177,0.55
178,0.0
179,0.0
180,0.0
181,0.15
182,0.0
183,0.0
184,0.05
185,0.0
186,0.05
187,0.0
188,0.2
189,0.35
190,0.0
191,0.0
192,0.1
193,0.0
194,0.0
195,0.0
196,0.1
197,0.0
198,0.0
199,0.05
200,0.0
201,0.0
202,0.25
203,0.1
204,0.05
205,0.25
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.1
212,0.1
213,0.05
214,0.05
215,0.15
216,0.05
217,0.1
218,0.0
219,0.0
220,0.2
221,0.0
222,0.45
223,0.0
224,0.05
225,0.05
226,0.0
227,0.05
228,0.0
229,0.1
230,0.05
231,0.0
232,0.0
233,0.0
234,0.6
235,0.0
236,0.05
237,0.05
238,0.05
239,0.05
240,0.15
241,0.05
242,0.0
243,0.0
244,0.25
245,0.1
246,0.0
247,0.0
248,0.25
249,0.0
250,0.05
251,0.0
252,0.05
253,0.0
254,0.05
255,0.0
256,0.05
257,0.4
258,0.25
259,0.05
260,0.05
261,0.05
262,0.0
263,0.0
264,0.1
265,0.2
266,0.1
267,0.15
268,0.0
269,0.1
270,0.15
271,0.35
272,0.0
273,0.0
274,0.0
275,0.0
276,0.1
277,0.0
278,0.0
279,0.05
280,0.0
281,0.0
282,0.0
283,0.1
284,0.1
285,0.05
286,0.05
287,0.1
288,0.0
289,0.0
290,0.4
291,0.25
292,0.0
293,0.0
294,0.0
295,0.3
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.15
302,0.25
303,0.05
304,0.0
305,0.0
306,0.0
307,0.15
308,0.25
309,0.25
310,0.25
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.05
317,0.0
318,0.0
319,0.0
320,0.0
321,0.8
322,0.0
323,0.0
324,0.0
325,0.1
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.05
332,0.05
333,0.35
334,0.0
335,0.05
336,0.0
337,0.0
338,0.0
339,0.0
340,0.1
341,0.0
342,0.05
343,0.0
344,0.0
345,0.0
346,0.45
347,0.0
348,0.05
349,0.35
350,0.05
351,0.0
352,0.0
353,0.2
354,0.0
355,0.15
356,0.0
357,0.05
358,0.0
359,0.35
360,0.1
361,0.15
362,0.0
363,0.0
364,0.05
365,0.0
366,0.3
367,0.0
368,0.05
369,0.0
370,0.0
371,0.15
372,0.05
373,0.1
374,0.0
375,0.05
376,0.15
377,0.1
378,0.25
379,0.0
380,0.0
381,0.15
382,0.0
383,0.05
384,0.0
385,0.0
386,0.0
387,0.05
388,0.65
389,0.1
390,0.1
391,0.0
392,0.0
393,0.0
394,0.05
395,0.0
396,0.0
397,0.0
398,0.0
399,0.05
400,0.0
401,0.1
402,0.25
403,0.05
404,0.05
405,0.05
406,0.0
407,0.15
408,0.0
409,0.35
410,0.0
411,0.0
412,0.2
413,0.2
414,0.05
415,0.1
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.4
422,0.05
423,0.0
424,0.4
425,0.05
426,0.05
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.1
437,0.0
438,0.0
439,0.25
440,0.25
441,0.2
442,0.0
443,0.15
444,0.1
445,0.05
446,0.0
447,0.05
448,0.0
449,0.0
450,0.0
451,0.15
452,0.0
453,0.0
454,0.05
455,0.4
456,0.35
457,0.0
458,0.05
459,0.0
460,0.0
461,0.0
462,0.0
463,0.05
464,0.0
465,0.0
466,0.0
467,0.15
468,0.25
469,0.05
470,0.05
471,0.0
472,0.05
473,0.0
474,0.15
475,0.05
476,0.2
477,0.0
478,0.3
479,0.0
480,0.1
481,0.0
482,0.0
483,0.0
484,0.45
485,0.0
486,0.05
487,0.0
488,0.1
489,0.15
490,0.0
491,0.0
492,0.1
493,0.0
494,0.0
495,0.05
496,0.0
497,0.05
498,0.0
499,0.4
500,0.0
501,0.0
502,0.0
503,0.05
504,0.0
505,0.0
506,0.0
507,0.0
508,1.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.1
519,0.0
520,0.2
521,0.0
522,0.05
523,0.0
524,0.0
525,0.0
526,0.0
527,0.2
528,0.0
529,0.0
530,0.1
531,0.05
532,0.4
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.2
539,0.1
540,0.1
541,0.0
542,0.05
543,0.05
544,0.25
545,0.05
546,0.0
547,0.0
548,0.0
549,0.0
550,0.05
551,0.05
552,0.0
553,0.0
554,0.05
555,0.0
556,0.2
557,0.0
558,0.05
559,0.1
560,0.15
561,0.15
562,0.15
563,0.2
564,0.1
565,0.0
566,0.05
567,0.0
568,0.15
569,0.0
570,0.0
