mazurka_id,n_beats,n_performers,boundary_mean
M06-1,337,34,0.05637982195845697
M06-2,288,42,0.05439814814814815
M06-3,294,42,0.06284418529316489
M06-4,121,39,0.0576393303666031
M07-1,312,41,0.06339899937460913
M07-2,361,35,0.056588840522358526
M07-3,315,58,0.059113300492610835
M17-1,301,45,0.06386120339608711
M17-2,205,50,0.055121951219512196
M17-3,505,36,0.0553905390539054
M17-4,395,67,0.060721707916115614
M24-1,289,46,0.06160673988265383
M24-2,360,56,0.06532738095238096
M24-3,236,39,0.052042590178183405
M24-4,559,54,0.05601934671702113
M30-1,160,45,0.048472222222222215
M30-2,193,50,0.050051813471502594
M30-3,333,54,0.05828050272494716
M30-4,417,55,0.057030739045127524
M33-1,145,48,0.056609195402298855
M33-2,430,50,0.06158139534883721
M33-3,192,23,0.05230978260869565
M33-4,673,63,0.05526073728153966
M41-1,417,35,0.05878725590955807
M41-2,203,42,0.05852685901946985
M41-3,234,39,0.062239754547446846
M41-4,247,33,0.05692553060974113
M50-1,312,45,0.06346153846153846
M50-2,381,40,0.058070866141732284
M50-3,625,67,0.05370746268656717
M56-1,612,34,0.06117839292579776
M56-2,274,48,0.06865875912408759
M56-3,661,51,0.06460799145679451
M59-1,426,41,0.053017290736287644
M59-2,333,56,0.06376018876018877
M59-3,463,56,0.05310860845418081
M63-1,306,42,0.07088390911920324
M63-2,168,60,0.0628968253968254
M63-3,229,62,0.05944499225242992
M67-1,180,35,0.06857142857142857
M67-2,217,31,0.06392151033149993
M67-3,169,40,0.0695266272189349
M67-4,337,42,0.0655645047336442
M68-1,252,38,0.06505847953216373
M68-2,253,47,0.06063409301152132
M68-3,180,42,0.06124338624338623
